ŠZŠ pre telesne postihnutých,Košický,Košice-Vyšné Opátske,"SŠ - ŠZŠ pre TP - Košice, Opatovská c.",Opatovská cesta 101,46.3
Škola úžitkového výtvarníctva,Košický,Košice-Staré Mesto,"Škola úžit.výtvarníctva - Košice, Jakobyho",Jakobyho 15,52.9
Stredná odborná škola,Košický,Košice-Juh,"SOŠ poľnoh. a služieb - Košice, Kukučínova",Kukučínova 23,31.8
Stredná odborná škola,Košický,Pribeník,"SOŠ - Pribeník, J.Majlátha",J. Majlátha 2,23.9
Gymnázium,Košický,Gelnica,"Gymnázium - Gelnica, SNP",SNP 1,12.3
Gymnázium,Košický,Košice-Staré Mesto,"Gymnázium M.R.Štefánika - Košice, Nám.L.Novomeského",Nám. L. Novomeského 4,39.7
Gymnázium,Košický,Košice-Staré Mesto,"Gymnázium - Košice, Šrobárova",Šrobárova 1,37.9
Gymnázium,Košický,Košice-Staré Mesto,"Gymnázium - Košice, Poštová",Poštová 9,37.6
Gymnázium,Košický,Košice-Staré Mesto,"Gymnázium a ZŠ s VJM - Košice, Kuzmányho",Kuzmányho 6,28.1
Gymnázium,Košický,Kráľovský Chlmec,"Gymnázium - Kráľovský Chlmec, Horešská",Horešská 18,34.1
Gymnázium,Košický,Krompachy,"Gymnázium - Krompachy, Lorencova",Lorencova 46,17.5
Gymnázium,Košický,Michalovce,"Gymnázium Pavla Horova - Michalovce, Masarykova",Masarykova 1,59.5
Gymnázium,Košický,Moldava nad Bodvou,"Gymnázium Š. Moysesa - Moldava n.B., Školská",Školská 13,13.5
Gymnázium,Košický,Rožňava,"Gymnázium P. J.Šafárika - Rožňava, Akademika Hronca",Akademika Hronca 1,25.5
Gymnázium,Košický,Sobrance,"Gymnázium - Sobrance, Kpt.Nálepku",Kpt. Nálepku 6,20.1
Gymnázium,Košický,Spišská Nová Ves,"Gymnázium - Spiš.N.V., Školská",Školská 7,40.6
Gymnázium,Košický,Trebišov,"Gymnázium - Trebišov, Komenského",Komenského 32,38.1
Gymnázium,Košický,Veľké Kapušany,"Gymnázium - V.Kapušany, Zoltána Fábryho",Zoltána Fábryho 1,15.5
Stredná priemyselná škola,Košický,Košice-Staré Mesto,"SPŠ dopravná - Košice, Hlavná",Hlavná 113,54.2
Stredná priemyselná škola,Košický,Košice-Sever,"SPŠ elektrotechnická - Košice, Komenského",Komenského 44,55.4
Stredná priemyselná škola,Košický,Košice-Staré Mesto,"SPŠ stavebná a geodet. - Košice, Lermontovova",Lermontovova 1,23.3
Stredná priemyselná škola,Košický,Košice-Staré Mesto,"SPŠ - Košice, Komenského",Komenského 2,44.9
Stredná odborná škola,Košický,Košice-Staré Mesto,"SOŠ - Košice, Grešákova",Grešákova 1,18.1
Obchodná akadémia,Košický,Košice-Sever,"OA - Košice, Watsonova",Watsonova 61,52.3
Gymnázium,Košický,Košice-Vyšné Opátske,"Gymnázium - Košice, Opatovská c.",Opatovská cesta 7,30.4
Obchodná akadémia,Košický,Rožňava,"OA - Rožňava, Akademika Hronca",Akademika Hronca 8,22.5
Obchodná akadémia,Košický,Trebišov,"OA - Trebišov, Komenského",Komenského 3425/18,19.4
Stredná odborná škola,Košický,Košice-Barca,"SOŠ veterinárna - Košice, Nám.mladých poľnoho.",Nám.mladých poľnoho. 2,24.6
